movie,title,avgRating
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4249,TRIANGLE,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie39,THE IMAGINARIUM OF DOCTOR PARNASSUS,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie17,WILD TARGET,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie51,V FOR VENDETTA,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3025,UnknownMovie3025,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3694,BROADCAST NEWS,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3806,THE GAME,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3823,FRANTIC,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3997,UnknownMovie3997,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4238,WALL STREET,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4252,MIDNIGHT COWBOY,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4366,EASTERN PROMISES,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3735,MEGAMIND,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie32,I AM LEGEND,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3710,13,3.5
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3726,BLACK SWAN,3.5
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4374,THE DARK KNIGHT RISES,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie2986,UnknownMovie2986,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie54,VALHALLA RISING,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3657,THE GO-GETTER,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3807,UnknownMovie3807,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie60,UnknownMovie60,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3,LETTERS TO JULIET,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3948,UnknownMovie3948,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4052,IN GOOD COMPANY,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4087,MIDNIGHT IN PARIS,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4179,BOWLING FOR COLUMBINE,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4196,UnknownMovie4196,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie116,UnknownMovie116,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3595,GROWN UPS,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie42,UnknownMovie42,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie80,CLICK,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie103,CELDA 211,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3510,THE SOCIAL NETWORK,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie92,UnknownMovie92,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie93,AFTER.LIFE,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3568,ZEITGEIST,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3869,RANGO,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie85,SPY GAME,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie138,SHUTTER ISLAND,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4010,UnknownMovie4010,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4223,U.S. MARSHALS,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie168,JUST WRIGHT,3.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3600,FROZEN,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie115,UnknownMovie115,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie1953,KIDS,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4373,UnknownMovie4373,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4136,UnknownMovie4136,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie59,LE PREMIER CERCLE,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie194,NEW MOON,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4168,OVER HER DEAD BODY,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie114,NATIONAL TREASURE,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3705,CRADLE 2 THE GRAVE,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie86,UnknownMovie86,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4224,DEATH RACE 2,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4354,PROMETHEUS,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie202,THE EXPERIMENT,2.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4072,THE BREAKFAST CLUB,1.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie99,IRON MAN 2,1.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie157,UnknownMovie157,1.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4257,POST IMPACT,1.0
